,year,artist,song
4722,2007,Chenoa,Cita A Ciegas
4723,1995,Pedro Aznar,Otra Vez Mas (Se Desangra)
4724,1994,La Lupita,Hay Que Pegarle A La Mujer
4725,2007,Mary Chapin Carpenter,Your Life Story
4726,2005,Cali,Roberta
4727,2002,The Vandals,I'm Becoming You
4728,2009,Brooke Waggoner,Chromates Soft Love
4729,1994,The Five Keys,I Wish I'd Never Learned To Read
4730,1992,Saigon Kick,The Lizard (LP Version)
4731,2001,The Mighty Imperials,Soul Buster Part I feat. Joseph Henry
4732,1993,Cappella,U Got 2 Know (Maxizone Remix)
4733,1996,Sunscreem,Secrets
4734,2002,Severe Torture,Mutilation Of The Flesh
4735,2009,George Lopez,Real Names
4736,2008,Cajus,Planet Cajun
4737,2007,Sophie Milman,Something In The Air Between Us
4738,2007,Solitary Experiments,SEELE BRICHT - SOLITARY EXPERIMENTS FEAT. FEINDFLUG
4739,2007,Hellbillies,Mørkemann
4740,1999,Take 6,I L-O-V-E U (Album Version)
4741,2004,Keb' Mo',Wake Up Everybody
4742,2008,Ysa Ferrer,Sens Interdit
4743,2009,Tinchy Stryder / N-Dubz,Number 1
4744,2002,Alice Peacock,Leading With My Heart
4745,2001,Lisa Nilsson,Vad Har Hänt Här
4746,2000,The Waybacks,Gone Wayback
4747,2000,Peter Bruntnell,Handful Of Stars (Album Version)
4748,2005,Silicone Soul,Folie a Deux
4749,1997,Twista,Emotions (Album Version)
4750,2010,Break,Late Drop
4751,2003,The Zutons,Zuton Fever
4752,1996,Emmylou Harris,Sweet Sorrow In the Wind
4753,2000,Dead Prez,Discipline
4754,2000,Melanie B,Tell Me (Untouchables Remix)
4755,2009,Division Day,Surrender
4756,1991,Lee Dorsey,Yes We Can
4757,2010,Kim Richey,In The Years To Come
4758,2007,Kayah,Dziele Na Pól
4759,2006,Bobby Lee Trammell,Shirley Lee
4760,2000,Suicide Commando,Comtose Delusion (Hocico Mix)
4761,2004,Maximo Park,The Coast is Always Changing
4762,1995,The Cruel Sea,This Is What It Is
4763,2002,Enrique Iglesias,Tres Palabras
4764,1998,Mulgrew Miller,My Man's Gone Now
4765,2008,Colt Ford,Waffle House (feat. Sunny Ledfurd)
4766,2009,Sonic Boom Six,Jericho
4767,2007,Grand National,By The Time I Get Home There Wont Be Much Of A Place For Me
4768,2000,Phil Keaggy,Whose Heavy Heart (LP Version)
4769,2009,Trademark,New Frontiers
4770,1999,Gene Harris,Jive Samba
4771,2003,Nick Lachey,Open Your Eyes
4772,2004,The Blood Brothers,Love Rhymes With Hideous Car Wreck
4773,2009,Screaming Banshee Aircrew,So Sorry
4774,2008,KA SO RE,Dramatically Keep You
4775,2008,Killer Mike,I'm The Sh*t
4776,1997,Chris Connelly and the Bells,The Fortune
4777,2009,Keith Martin,The Only One
4778,1995,The Herbaliser,A Little Groove
4779,2001,Tankcsapda,Itt Vannak A Tankok
4780,1997,Bob James,The River Returns (Album Version)
4781,2004,Fey,Barco a Venus
4782,2007,Hayseed Dixie,Devil Woman
4783,2002,Theo Parrish,Falling Up
4784,2007,Art Garfunkel,Let's Fall In Love (2007 Remastered LP Version)
4785,2004,Maria Haukaas Storeng,Good 4 Nothin'
4786,2009,Kasms,Trenchfoot
4787,2010,Field Music,All You'd Ever Need To Say
4788,2005,Naglfar,The Calling Blaze
4789,2006,Eric Church,Guys Like Me
4790,2006,Obie Bermudez,Soga En Mano
4791,2000,Space Cat,C4
4792,1995,Techno Animal,The Mighty Atom Smasher
4793,2005,Sukshinder Shinda,Kisa Jat Da
4794,1995,Kenny Rogers,Ticket To Nowhere
4795,2006,LFO,Si on partait
4796,2003,The Royal Family And The Poor,Dominion
4797,2006,Joakim,Tanabata
4798,2001,Souad Massi,Raoui
4799,1990,Billy Idol,Mark Of Caine
4800,1993,Kingmaker,Playground Brutality
4801,2003,Lisa Miskovsky,Sing To Me
4802,2004,Humanos,A Teia
4803,1998,Raised Fist,Shortcut
4804,2009,Tommy James And The Shondells,Hanky Panky (Mono)
4805,2007,Witchdoctor,Just Like You
4806,1999,Frankie Feliciano,The Real Thing (Ricanstruction Mix)
4807,1994,Outrageous Cherry,Bridge
4808,2007,6th Sense,Frenzy
4809,2006,Tim Exile,So Doku Wars
4810,2003,Kill Hannah,Race The Dream  (Album Version)
4811,2003,Special D.,King Of Da Beatz
4812,2003,Buddy Jewell,I Wanna Thank Everyone
4813,2009,The Phantom Band,Burial Sounds
4814,2007,The Mooney Suzuki,First Comes Love
4815,2008,Terminal Sound System,In Your Planet
4816,2009,Vienna Teng,St. Stephen's Cross
4817,2004,Narsilion,A Night In Fairyland
4818,2006,Lyricson,No Worry
4819,1999,Mr Oizo,Inside The Kidney Machine
4820,2006,Most Valuable Players,Stockholm Doesn't Belong To Me (Viktor Sjöberg Remix)
4821,2000,Kings of Tomorrow,Finally
4822,2003,Fernando Samalea,La Fatalidad De Las Leyes
4823,2000,Estradasphere,The Transformation
4824,2009,Sebastian Ingrosso & Laidback Luke,Chaa Chaa (EDX's Marrakesh Souk Remix)
4825,2003,DJ Wally,Caught in the Wormhole
4826,1995,Jacob's Optical Stairway,20 Degrees Of Taurus
4827,1995,4hero,Universal Love
4828,2000,Paula Toller,Eu Só Quero Um Xodó
4829,2006,Admiral Freebee,Devil In The Details
4830,2010,Oomph!,The Final Match
4831,2009,The Dear Hunter,Father
4832,2010,White Belt Yellow Tag,It's A Long Way_ Don't You Fall Behind
4833,2008,M-Clan,Inmigrante
4834,2005,Gammer,Let It Go
4835,1990,Darden Smith,Fall Apart At The Seams
4836,1997,Kenny G,Baby G
4837,2007,Gabriel Ananda,JoJo
4838,2010,MRK1,Going Down
4839,1991,The Doobie Brothers,Under The Spell
4840,1998,Symphony X,Through The Looking Glass
4841,1999,Alex Lloyd,Aliens
4842,1999,Freedom For King Kong,Mauvais zélé ment
4843,1994,Failure,Let It Drip
4844,2000,Harold Budd,The Room Of Corners
4845,2004,VAST,I Can't Say No (to You)
4846,2009,Molotov Solution,Enslaved
4847,2000,James Horner,Coming Home From The Sea
4848,1991,Nuclear Valdez,Dance Where The Bullets Fly
4849,2006,Anthony David,On & On
4850,2004,Madvillain,Great Day
4851,1991,Barry White,Can't Get Enough of Your Love Baby
4852,1992,Beastie Boys,Jimmy James
4853,1997,Joi Cardwell,Soul to Bare
4854,2008,Texas Faggott,Surmo Työ
4855,2008,Tony Trischka,Eighteen
4856,2006,IV Thieves,Chase me off/out
4857,2008,Pelle Carlberg,Metal To Metal
4858,2008,Satyricon,Mother North [live from Gjallarhorn] [CD version] (Album Version)
4859,1997,Pulse Legion,Never Over
4860,1999,Illya Kuryaki And The Valderramas,Nadie Más
4861,2006,My Chemical Romance,Teenagers (Album Version)
4862,2007,Lutricia Mcneal,Hold That Moment
4863,1998,Partners In Rhyme,Bor Bor
4864,2008,Ike Reilly,Poison The Hit Parade (Solo)
4865,2009,Westbound Train,The Passage
4866,1991,Tori Amos,Upside Down
4867,2009,Itchy Poopzkid,Learn To Drown
4868,2007,The Dials,Pontius Pilate At Kmart
4869,1994,Buck-O-Nine,Voice In My Head '96
4870,1993,Alejandro Fernandez,Cenizas
4871,2008,SECRET SPHERE,From A Dream To A Nightmare
4872,2004,Stars,Set Yourself On Fire
4873,2007,Duran Duran,Nite-Runner
4874,1996,David Wilcox,House By The River
4875,2001,Antifreeze,Cyber Sweetie
4876,1995,Gaunt,Now
4877,2000,Nação Zumbi,carimbó
4878,2001,Kane,Rain down on me
4879,2006,Pornopop,Sleep
4880,2007,Johan Agebjörn with Sally Shapiro,Spacer Woman from Mars
4881,2001,Laurie Berkner,Telephone
4882,2010,Ron Basejam,No Jose
4883,2003,Plump DJs,The Gate
4884,1990,The Marcels,Goodbye To Love
4885,2005,The Junior Varsity,If You Could Paint Your Own Vacation Where Would You Go? (Album Version)
4886,1997,The Yips,Jan. NYC. Vacation
4887,2008,Ballboy,A Relatively Famous Victory
4888,2005,Every Time I Die,Tusk And Temper
4889,2007,Lukid,Isis
4890,2004,Doro,Let Love Rain On Me
4891,2006,Blackmore's Night,Faerie Queen - Faerie Dance
4892,2009,Cassettes Won't Listen,Later That Night
4893,1996,BBE,Seven Days And One Week (The Rollo And Sister Bliss Remix)
4894,2007,Tracy Gang Pussy,Can't Stop That R'n'r
4895,1994,Rio Reiser,Alles klar auf der Andrea Doria
4896,2009,Robin Thicke,I Got U
4897,2005,Perry Blake,These young dudes
4898,2000,Liquid Soul,Everybody's Got One
4899,2001,Q-Burns Abstract Message & Lisa Shaw,You Are My Battlestar
4900,2006,Schatsi,Dead End
4901,2009,Black Eyed Peas,One Tribe
4902,2004,Babs Gonzales,Cool Whalin'
4903,2004,Amel Larrieux,Congo (Album Version)
4904,1992,The Cadillacs,Gloria
4905,2000,The Upsetters,Kingdom Of Dub
4906,2008,Walter Becker,Downtown Canon
4907,2007,Oliver Koletzki,Requiem für die Vernunft
4908,1998,La Dama Se Esconde,Un Regalo
4909,1996,Ohm Guru,River Flow
4910,1992,The Smashing Pumpkins,Today
4911,2003,Kenny Burrell,In The Still Of The Night
4912,2001,The Supermen Lovers,Starlight
4913,2003,The Strokes,What Ever Happened?
4914,1990,Ralph Tresvant,Do What I Gotta Do
4915,2009,Neffa,Bellissima
4916,2006,Neil Young,After The Garden (Album Version)
4917,2001,Steps,Baby Don't Dance
4918,1995,Donna Fargo,Happiest Girl In the Whole USA
4919,2007,Cristina Donà,Conosci
4920,2008,3 Doors Down,Your Arms Feel Like Home
4921,1996,Kris Kross,Mackin' Ain't Easy
4922,2008,Cephalic Carnage,Britches
4923,2004,Teddybears Sthlm,Hey Boy
4924,2008,A Kidnap In Color,By Invitation Only
4925,2008,Sister Sin,Switchblade Serenade
4926,2005,Twelfth Night,The Craft (Rough Mix)
4927,2007,Paths Of Possession,The Ancient Law
4928,2002,Primal Scream,Miss Lucifer
4929,2006,Hundred Year Storm,Someday You'll See
4930,2005,Jackson And His Computer Band,Fast Life
4931,1999,Waldeck,Defenceless
4932,2007,50 Cent,Last Chance
4933,2003,Bally Sagoo,Duppatta Meri Pag Varga
4934,2002,Dudu Nobre,Amor Pra Me Aquecer
4935,2008,Colour Revolt,A Siren
4936,1998,Origin Unknown,Sound in Motion
4937,1991,Keiko Matsui,Seagull
4938,2005,The Green Pajamas,Like A Memory (Blue Eyes)
4939,2008,Dozer,Two Coins for Eyes
4940,2001,Mando Diao,Motown Blood
4941,2008,Susan Tedeschi,Butterfly
4942,2004,Circle Takes the Square,Same Shade As Concrete
4943,1997,Wynton Marsalis,Look And See
4944,1993,BeauSoleil,Dis-Moi Pas (LP Version)
4945,2006,Sr Chinarro,El Mar De La Tanquilidad
4946,2002,Gemma Hayes,Making Waves (2003 Digital Remaster)
4947,2007,Doyle Bramhall,Lost in the Congo
4948,2010,Spencer & Hill,Excuse Me
4949,2007,Capdown,Thrash Tuesday
4950,2010,Marina And The Diamonds,The Outsider (album version)
4951,2004,Black Dice,Island
4952,2000,Burnt Friedman,Escape The Night
4953,2005,Cadence Weapon,Black Hand
4954,1995,Street Military,Episode
4955,2008,Brad Mehldau,O Que Será
4956,1994,3rd Matinee,Freedom Road
4957,2002,...And You Will Know Us By The Trail Of Dead,Baudelaire
4958,1999,Mariah Carey,Can't Take That Away (Mariah's Theme)
4959,2002,Boards of Canada,You Could Feel The Sky
4960,2006,Kiko Loureiro,Realidade Paralela
4961,2006,Now It's Overhead,Let Up
4962,2009,Shadow Dancer,Cowbois
4963,2008,Asmus Tietchens,teilmenge 45
4964,2008,Roger Subirana,Deshmy Laggio
4965,1995,Lil Johnson,My Baby (Squeeze Me Again) (Take 2)
4966,2008,Dead Confederate,Start Me Laughing
4967,2005,Dave Eggar,Deep Blue
4968,2000,The Flying Burrito Brothers,If You Gotta Go
4969,2007,Fight Like Apes,Lend Me Your Face
4970,1995,Red Rockers,Shades of '45
4971,1999,The Undecided,Choices
4972,2009,Teitur,All My Mistakes
4973,2006,Fuck the Facts,Taken from the Nest
4974,2002,Balligomingo,Sweet Allure
4975,1995,Priscilla Chan,Cong Lai Shi Yi Dui
4976,2003,NG3,NG3 For Life
4977,1992,Billie Holiday,I only have eyes for you
4978,2007,Glenn Miller,Little Brown Jug
4979,1994,The Inmates,Sweet Lovin'
4980,2004,John Williams,Steam Train
4981,2004,Standstill,Feliz en tu dia
4982,1998,Chateau Flight,Discobole
4983,1992,The Beat Daddys,She Knocks Me Out
4984,1999,Malavoi,Tomaline
4985,1997,Robert Miles,EVERYDAY LIFE
4986,2004,Airlock,Revealing Some Interest
4987,1997,October Tide,Sightless
4988,2006,Daouda,Le villageois
4989,1998,Buju Banton,Glamatize
4990,2004,Gina V. D'Orio,Naval War
4991,1995,Silmarils,Love Your Mum
4992,2008,Era,After Thousand Words
4993,2007,Toufic Farroukh,Scarecrow and peacock
4994,2004,Reverend Bizarre,Doom Over The World
4995,2007,Daniel Landa;Lucie Vondrackova,Touha II
4996,2005,Severe Torture,Lost Souls
4997,2003,Roscoe Holcomb,Black Eye Susie
4998,2009,Santa Hates You,Rocket Heart
4999,1997,Primus,Arnie
5000,2005,We Are Wolves,Vosotros_ Monstrous
5001,2006,Nik & Jay,Op På Hesten
5002,2001,Damian Marley / Stephen Marley / Yami Bolo,Still Searching
5003,1995,Ammer_ Einheit_ Haage,I Will Survive (Rezitativ & Introitus)
5004,2005,Jake Shimabukuro,3rd Stream
5005,2006,Paula DeAnda,I'll Be Down For You
5006,2004,Gilberto Santa Rosa,Piedras Y Flores
5007,2000,Jantje Smit,Ein Sonntag Am Meer
5008,2007,ZO2,Get Up Now
5009,1992,Jag,1000 Words
5010,2009,Turbo Fruits,Hold Me
5011,1993,Ric Ocasek,What's On TV
5012,2006,Katatonia,Consternation
5013,1997,Commander Venus,Dress To Please
5014,2009,Andreas Tilliander,She Don't Cry (feat. New Moscow)
5015,2005,Juelz Santana,Kid Is Back
5016,1995,Sir Elwoodin Hiljaiset Varit,Sirkus
5017,1999,8stops7,Regression (Album Version)
5018,2006,Kind of Like Spitting,A Song For You
5019,2003,JP Juice,the journey
5020,1997,Trancendental,Sadaka
5021,2005,Dazkarieh,Kriamideah 1
5022,2008,Alice Russell,Let Us Be Loving
5023,1998,John Fogerty,Down On The Corner
5024,1998,Lloyd Parks,Ordinary Man
5025,2006,Underoath,In Regards to Myself
5026,2003,Marisela,Amor De Compra Y Venta
5027,2006,Threat Signal,As I Destruct
5028,2005,Theatres Des Vampires,My Lullaby
5029,2001,Los Amantes De Lola,Solo
5030,1997,Jan A.P. Kaczmarek,Catherine and the Mirror
5031,2004,Alex Dolby,Psiko Garden
5032,1995,At The Gates,Under A Serpent Sun
5033,1992,Chick Webb,Stomping At The Savoy
5034,2006,Alan Silvestri,This Is Your Moment
5035,2006,Anam Cara,Thief In The Night
5036,1996,FRANK T,Top No Esta Muerto
5037,2002,Stew,The Smile
5038,2000,Color Filter,Give This A Whirl
5039,2007,Stereo De Luxe,Sexuality In The Eighties
5040,2006,Neon Plastix,Neon Invasion
5041,2009,The Young Republic,The Alchemist
5042,2003,Aesop Rock,Frijoles
5043,2007,Magic Pie,Circus Of Life: Pt. V The Clown
5044,2006,Delain,Pristine (Album Version)
5045,2002,Catapult,Let Your Hair Hang Down
5046,1999,Chasing Furies,Whisper Softly  ()
5047,1991,En Vogue,Lies (New Jack Remix)
5048,1997,MU330,So Far
5049,2006,Scandinavian Music Group,Valmis
5050,2009,Charlie Dore,Alone
5051,2006,Celtic Woman,The Christmas Song
5052,2006,Ike Yard,Dancing and Slaving
5053,2001,Saru,Subterra
5054,2008,Accessory,Gegen den Strom
5055,2001,Diabolical Masquerade,Returning To Haarad El Chamon
5056,2005,Cæcilie Norby,Power To The Fools
5057,2009,Lusine,Every Disguise
5058,2003,Ruxpin,Makaneon
5059,1997,Randy Brecker,Tijuca
5060,2006,Hank Mobley,Workout (2005 Digital Remaster)
5061,1997,Kuhn_ Dieter Thomas,Über 7 Brücken - Live
5062,2000,Einstuerzende Neubauten,Redukt
5063,2005,4LYN,New Week
5064,2005,Singin' Sammy Ward,Someday Pretty Baby
5065,1994,Mark Lanegan,Carnival (Album)
5066,2007,Silverstein,My Disaster (Album Version)
5067,2003,Sabrina Setlur,Keine macht S besser
5068,2002,Da Headbussaz,It's Bought To Happen To'm
5069,2006,Sydän_ sydän,Käki
5070,2002,The Extra Glenns,Somebody Else's Parking Lot in Sebastopol
5071,1991,Metallica,Wherever I May Roam
5072,1991,Ina Deter,Habe Mich Auf Meinem Weg Gefunden
5073,1998,Canned Heat,Wrapped Up
5074,1998,Carlos Ponce,Todo Por Tu Amor
5075,2007,Will.I.Am,Heartbreaker
5076,2007,The Magic Numbers,Oh_ You Might As Well Live In My Head Now (The Jump Rope Song)
5077,1996,Marilyn Scott,Just To See You Again
5078,2005,Omarion,Drop That Heater
5079,1994,Ernst Rolf,Bättre Och Bättre Dag För Dag (I'm Getting Better Every Day)
5080,2009,Aly & Fila,Khepera (Original Mix)
5081,2009,Israel Houghton featuring Chevelle Franklyn,Surely Goodness
5082,2004,Jeff Rona,The Book of Spells
5083,2004,Morifade,The Second Coming
5084,2001,Once11,Zoomtown Zeitlupiges
5085,2008,Franco De Vita,Probablemente
5086,1998,Compay Segundo,Como La Avellaneda
5087,1991,LOU MONTE,Lazy Mary
5088,2005,Mychael Danna,hollywood and vine
5089,2001,J. Karjalainen Electric Sauna,Kaikki pallot ilmassa
5090,2006,Bounty Killer,Twenty One (feat. Pinchers)
5091,2002,André Rieu,Marino Waltz
5092,1993,Shai,If I Ever Fall In Love
5093,2008,Artists Stand Up To Cancer / Mariah / Beyoncé / Mary J. Blige / Rihanna / Fergie / Sheryl Crow / Melissa Etheridge / Natasha Bedingfield / Miley Cyrus / Leona Lewis / Carrie Underwood / Keyshia Cole / LeAnn Rimes / Ashanti / Ciara,JUST STAND UP!
5094,1992,Dritte Wahl,Egal
5095,1997,Dannii,Someone New [Flexifingers Radio Edit]
5096,2008,XIU XIU,Black keyboard
5097,2004,Airscape,Sosei (Reeloop Remix)
5098,1994,Silverchair,Blind
5099,1996,Molly Hatchet,The Journey
5100,2007,Valérie Leulliot,L'eau Du Gange
5101,2005,Anis,Bistro
5102,2003,Sylvain Chauveau,Granulation 3
5103,2006,Morning Runner,People Line Up The Halls
5104,2007,Armchair Martian,..Screws In (1995)
5105,2000,Mafalda Veiga,Gente Perdida
5106,2000,Icon Of Coil,We Need [Club Mix]
5107,2005,Lokua Kanza,Le Monde Est Fou
5108,2007,Static-X,Forty Ways (Amended Version)
5109,2003,Regulations,Acceptance
5110,1998,Gob,License From A Cereal Box
5111,2005,Orbital,Farenheit 303
5112,1991,Atlantic Starr,Love Crazy
5113,2000,Deckard,Christine II (Album Version)
5114,2007,Promoe,Heartburns
5115,2005,Steve Vai,Freak Show Excess
5116,2001,Das EFX,Kaught In Da Ak (LP Version)
5117,2001,LMS,Laws Of The King
5118,1995,Billy Pilgrim,Caroline (LP Version)
5119,1998,VAST,[ Untitled ] ( LP Version )
5120,1993,Louise Hoffsten,Forbidden Fruit
5121,2005,Mary Lou Lord,Thunder Road
5122,1995,Agitation Free,Crashending (Bonustrack)
5123,2001,Headman,Intermezzo
5124,1999,Claudine Longet,Every Beat Of My Heart
5125,2002,Trik Turner,Friends & Family
5126,2002,Erase The Grey,Second Chance
5127,2008,Natália Mallo,Dia incerto
5128,1992,The Grid,Boom!
5129,2006,Jamelia,Beware Of The Dog (Instrumental)
5130,2006,Koordinate Of Wonders,Irreverse
5131,2005,Moodorama,Walk on by
5132,2001,Pino Daniele,Mareluna
5133,1996,Shamen,Cannabeo
5134,2008,Sally Shapiro,Jackie Junior (Junior Boys Remix)
5135,2004,The Nommos,Ritual Mechanics
5136,2009,Wolfmother,10_000 Feet
5137,2002,J.B.O.,Wem nutzt das schon
5138,2001,Bablicon,Travelling
5139,2009,Jupiter One,Strange Teacher  (Album)
5140,1990,The Soul Children,I'll Be The Other Woman
5141,2010,Carrie Newcomer,A Crash Of Rhinoceros
5142,2005,HA-ASH,Vaquera (I Want To Be A Cowboy's Sweet Heart)
5143,1998,Waldemar Bastos,Rainha Ginga
5144,2000,Savoy-Doucet Cajun Band,Les Culottes A Lollypop (Lollypop's Underwear)
5145,1999,Svinkels,Bois Mes Paroles
5146,2005,Antennae,Rimshack
5147,2004,Ataxia,Another (Album Version)
5148,2001,Tanto Metro & Devonte,That Fire
5149,2002,Orchestra Baobab,Jiin Ma Jiin Ma
5150,2002,Earshot,We Fall_ We Stand (Album Version)
5151,2004,Androcell,Plant Life
5152,1997,Allure,Introduction
5153,2002,4 Lyn,Pearls & Beauty
5154,2008,Belen Arjona,Todo es mentira
5155,2008,Steve Angello And Laidback Luke,Be
5156,2007,PRIMAL FEAR,Face The emptiness
5157,2003,Renee Rosnes,Bulldog's Chicken Run
5158,2010,The Van Jets,The Future
5159,2009,The Forced Oscillations,Triple Bagger
5160,1992,Iris Dement,These Hills (Album Version)
5161,1992,Jughead's Revenge,The Real World
5162,2009,L-Vis 1990,Compass
5163,2004,Laith Al-Deen;Zoe,Meilenweit
5164,1996,Gary Chang,Aissa's Death
5165,2005,Fat Freddy's Drop,Roady
5166,2002,Alberto Plaza,Bandido
5167,2007,Powderfinger,Ballad Of A Dead Man
5168,2008,Gotan Project,Amor Porteño
5169,2008,Afroman,Come Over
5170,1991,Long John Baldry,It's Too Late Now
5171,2004,Kassav',Nou Ped Chimen
5172,1999,New Direction,New Direction (LP Version)
5173,2003,Dave Attell,Bus Station (LP Version)
5174,1998,Harris_ Ronstadt & Parton,High Sierra (LP Version)
5175,2007,Kites,Final Worship
5176,2007,Anna Abreu,End Of Love
5177,1999,Ursula 1000,Hip Length
5178,2005,Kristin Hersh,Wave of Mutilation
5179,2008,Harry Pussy,Live at Solon Zwerge
5180,2004,Death From Above 1979,Turn It Out
5181,1997,Alabama 3,Woke Up This Morning
5182,2000,Bob Rivers,Decorations
5183,2003,Los Carrangueros de Ráquira,La Cucharita
5184,2006,Termanology,79 Murders
5185,2008,Small Mercies,Feels Like Fire
5186,2000,La Casa Azul,Hoy (Cambiaremos Algo) (Demo)
5187,2009,Patrick Watson,Wooden Arms
5188,2005,Frankie Bones,Work That!
5189,1992,The Mighty Mighty Bosstones,I'll Drink To That
5190,1999,Echt,2010
5191,2008,Mostly Autumn,Paper Angels
5192,1998,Daniel Johnston,Frankenstein Love
5193,1990,Meat Beat Manifesto,Deviate
5194,2001,Kardinal Offishall,Ol' Time Killin'
5195,2003,Extol,Nihilism 2002
5196,2007,The White Stripes,Rag And Bone
5197,2007,Hatesphere,Floating
5198,2001,Phats & Small,This Time Around
5199,2005,Trey Anastasio,Invisible
5200,2003,Phyllis Dillon,The Right Track
5201,2000,Amon Tobin,Slowly
5202,2010,Deepswing,In the Music 2010
5203,2005,Aberfeldy,Your Own Trailer
5204,2008,Laidback,People
5205,1995,Morten Gunnar Larsen,Peace And Plenty Rag
5206,1998,2 Eivissa,Move Your Body
5207,2006,Kite Flying Society,Winter Solstice (Demo Version)
